candidate_id,name,primary_family,primary_title,years_experience,seniority,location,work_authorization,domain,top_skills,education_level,degree_major,last_updated,resume_text
CAND-1000,Ava Moore,frontend,Frontend Engineer,4,Mid,"Chicago, IL",No Sponsorship Needed,Insurance,Accessibility;CSS;Figma;JavaScript;REST APIs;Redux;Tailwind;Testing Library;TypeScript,MS,Information Systems,2025-04-08,"Ava Moore — Frontend Engineer
    Location: Chicago, IL
    Summary: Frontend Engineer with 4 years of experience in Insurance. Strong in Accessibility, CSS, Figma, JavaScript.

    Experience:
    Soylent Analytics (Insurance) — Frontend Engineer
    - Analyzed LLM-powered assistants for Cybersecurity clients, improving key metrics by 50%.
- Delivered API services for E-commerce clients, improving key metrics by 20%.
- Migrated data quality checks for E-commerce clients, improving key metrics by 10%.
- Tech: Next.js, CSS, TypeScript, Figma, Tailwind.

    Skills: Accessibility, CSS, Figma, JavaScript, REST APIs, Redux, Tailwind, Testing Library, TypeScript
    Education: MS in Information Systems"
CAND-1001,Nina Anderson,ml_engineer,ML Engineer,4,Mid,Remote,US Citizen,Cybersecurity,Azure;Chroma;FastAPI;Feature engineering;Kubernetes;MLflow;Model deployment;PyTorch;Python;SageMaker;Vector databases;scikit-learn,BS,Information Systems,2025-07-31,"Nina Anderson — Applied Scientist
    Location: Remote
    Summary: Applied Scientist with 4 years of experience in Cybersecurity. Strong in Azure, Chroma, FastAPI, Feature engineering.

    Experience:
    Wonka Digital (Cybersecurity) — Applied Scientist
    - Automated recommendation models for EdTech clients, improving key metrics by 3x.
- Optimized vector indexes for Healthcare clients, improving key metrics by 10%.
- Delivered vector indexes for Media clients, improving key metrics by 2x.
- Optimized recommendation models for Retail clients, improving key metrics by 25%.
- Deployed vector indexes for EdTech clients, improving key metrics by 50%.
- Tech: TensorFlow, AWS, Feature engineering, FastAPI, GCP.

    Skills: Azure, Chroma, FastAPI, Feature engineering, Kubernetes, MLflow, Model deployment, PyTorch, Python, SageMaker, Vector databases, scikit-learn
    Education: BS in Information Systems"
CAND-1002,Taylor Harris,data_analyst,Data Analyst,11,Senior,"New York, NY",Green Card,Insurance,Airflow;BigQuery;Data modeling;Data visualization;Excel;Jupyter;NumPy;Pandas;Power BI;Snowflake;Statistics;Tableau;dbt,PhD,Information Systems,2025-05-26,"Taylor Harris — Analytics Engineer
    Location: New York, NY
    Summary: Analytics Engineer with 11 years of experience in Insurance. Strong in Airflow, BigQuery, Data modeling, Data visualization.

    Experience:
    Globex (Insurance) — Analytics Engineer
    - Designed recommendation models for Retail clients, improving key metrics by 2x.
- Delivered ETL pipelines for Retail clients, improving key metrics by 15%.
- Delivered forecasting pipelines for Media clients, improving key metrics by 10%.
- Tech: SQL, Tableau, Dashboarding, Data visualization, dbt.

    Skills: Airflow, BigQuery, Data modeling, Data visualization, Excel, Jupyter, NumPy, Pandas, Power BI, Snowflake, Statistics, Tableau, dbt
    Education: PhD in Information Systems"
CAND-1003,Olivia Wilson,ml_engineer,Senior ML Engineer,0,Junior,"San Francisco, CA",US Citizen,Media,Azure;Docker;FAISS;FastAPI;GCP;Kubernetes;MLflow;Model deployment;Monitoring;PyTorch;Python;RAG;Vertex AI;scikit-learn,PhD,Statistics,2025-12-15,"Olivia Wilson — Applied Scientist
    Location: San Francisco, CA
    Summary: Applied Scientist with 0 years of experience in Media. Strong in Azure, Docker, FAISS, FastAPI.

    Experience:
    Wayne Tech (Media) — Applied Scientist
    - Built fraud detection models for Healthcare clients, improving key metrics by 35%.
- Improved ETL pipelines for E-commerce clients, improving key metrics by 2x.
- Improved customer segmentation for Logistics clients, improving key metrics by 2x.
- Tech: RAG, FAISS, CI/CD, Kubernetes, Vector databases.

    Skills: Azure, Docker, FAISS, FastAPI, GCP, Kubernetes, MLflow, Model deployment, Monitoring, PyTorch, Python, RAG, Vertex AI, scikit-learn
    Education: PhD in Statistics"
CAND-1004,Sam Thomas,frontend,Frontend Engineer,10,Senior,"New York, NY",Requires Sponsorship,Cybersecurity,Accessibility;CSS;Figma;HTML;JavaScript;Next.js;REST APIs;React;Redux;Tailwind;Testing Library;TypeScript,BS,Computer Science,2025-03-24,"Sam Thomas — Frontend Engineer
    Location: New York, NY
    Summary: Frontend Engineer with 10 years of experience in Cybersecurity. Strong in Accessibility, CSS, Figma, HTML.

    Experience:
    Umbrella Health (Cybersecurity) — Frontend Engineer
    - Built data quality checks for Media clients, improving key metrics by 35%.
- Optimized API services for Insurance clients, improving key metrics by 25%.
- Analyzed recommendation models for Insurance clients, improving key metrics by 25%.
- Tech: REST APIs, Redux, Tailwind, Next.js, TypeScript.

    Skills: Accessibility, CSS, Figma, HTML, JavaScript, Next.js, REST APIs, React, Redux, Tailwind, Testing Library, TypeScript
    Education: BS in Computer Science"
CAND-1005,Nina Davis,frontend,UI Engineer,6,Senior,"Atlanta, GA",H1B,FinTech,Accessibility;CSS;Cypress;Figma;HTML;JavaScript;Next.js;REST APIs;React;Redux;Tailwind;Testing Library;TypeScript,Bootcamp,Information Systems,2025-06-19,"Nina Davis — Frontend Engineer
    Location: Atlanta, GA
    Summary: Frontend Engineer with 6 years of experience in FinTech. Strong in Accessibility, CSS, Cypress, Figma.

    Experience:
    Globex (FinTech) — Frontend Engineer
    - Analyzed ETL pipelines for Media clients, improving key metrics by 20%.
- Built ETL pipelines for E-commerce clients, improving key metrics by 50%.
- Migrated forecasting pipelines for Insurance clients, improving key metrics by 25%.
- Migrated dashboards for Retail clients, improving key metrics by 2x.
- Tech: JavaScript, Tailwind, HTML, Redux, Figma.

    Skills: Accessibility, CSS, Cypress, Figma, HTML, JavaScript, Next.js, REST APIs, React, Redux, Tailwind, Testing Library, TypeScript
    Education: Bootcamp in Information Systems"
CAND-1006,Jordan Thomas,frontend,UI Engineer,11,Senior,"Atlanta, GA",F1 OPT,E-commerce,CSS;Cypress;Figma;HTML;JavaScript;Next.js;React;Redux;Testing Library,BS,Electrical Engineering,2025-05-29,"Jordan Thomas — Frontend Engineer
    Location: Atlanta, GA
    Summary: Frontend Engineer with 11 years of experience in E-commerce. Strong in CSS, Cypress, Figma, HTML.

    Experience:
    Acme Corp (E-commerce) — Frontend Engineer
    - Designed recommendation models for Healthcare clients, improving key metrics by 35%.
- Optimized LLM-powered assistants for Insurance clients, improving key metrics by 35%.
- Delivered retrieval pipelines for Healthcare clients, improving key metrics by 20%.
- Migrated vector indexes for Logistics clients, improving key metrics by 3x.
- Optimized vector indexes for Insurance clients, improving key metrics by 3x.
- Tech: HTML, Tailwind, React, REST APIs, Redux.

    Skills: CSS, Cypress, Figma, HTML, JavaScript, Next.js, React, Redux, Testing Library
    Education: BS in Electrical Engineering"
CAND-1007,Noah Patel,genai,Senior AI Engineer,7,Senior,"Austin, TX",H1B,Healthcare,Chroma;Docker;Evaluation;FAISS;Guardrails;Kubernetes;LLMs;LangChain;Pinecone;Prompt engineering;RAG;Vector databases,Associate,Mathematics,2025-04-03,"Noah Patel — AI Engineer
    Location: Austin, TX
    Summary: AI Engineer with 7 years of experience in Healthcare. Strong in Chroma, Docker, Evaluation, FAISS.

    Experience:
    Soylent Analytics (Healthcare) — AI Engineer
    - Designed recommendation models for Healthcare clients, improving key metrics by 10%.
- Designed monitoring alerts for Logistics clients, improving key metrics by 2x.
- Deployed retrieval pipelines for EdTech clients, improving key metrics by 50%.
- Optimized vector indexes for Media clients, improving key metrics by 10%.
- Tech: FastAPI, LangChain, LLMs, Kubernetes, Vertex AI.

    Skills: Chroma, Docker, Evaluation, FAISS, Guardrails, Kubernetes, LLMs, LangChain, Pinecone, Prompt engineering, RAG, Vector databases
    Education: Associate in Mathematics"
CAND-1008,Liam Patel,genai,AI Engineer,5,Mid,"Dallas, TX",No Sponsorship Needed,Logistics,Azure OpenAI;Evaluation;FastAPI;Guardrails;Kubernetes;LLMs;LangChain;Prompt engineering;Python,PhD,Electrical Engineering,2025-11-27,"Liam Patel — Senior AI Engineer
    Location: Dallas, TX
    Summary: Senior AI Engineer with 5 years of experience in Logistics. Strong in Azure OpenAI, Evaluation, FastAPI, Guardrails.

    Experience:
    Initech (Logistics) — Senior AI Engineer
    - Deployed data quality checks for EdTech clients, improving key metrics by 20%.
- Optimized vector indexes for Healthcare clients, improving key metrics by 50%.
- Automated experiment frameworks for E-commerce clients, improving key metrics by 15%.
- Tech: Pinecone, Chroma, Docker, Guardrails, FAISS.

    Skills: Azure OpenAI, Evaluation, FastAPI, Guardrails, Kubernetes, LLMs, LangChain, Prompt engineering, Python
    Education: PhD in Electrical Engineering"
CAND-1009,Zoe Jackson,data_analyst,Senior Data Analyst,6,Senior,"Chicago, IL",Green Card,Logistics,A/B testing;Airflow;BigQuery;Jupyter;Looker;NumPy;PostgreSQL;Python;Tableau,PhD,Information Systems,2026-01-29,"Zoe Jackson — Senior Data Analyst
    Location: Chicago, IL
    Summary: Senior Data Analyst with 6 years of experience in Logistics. Strong in A/B testing, Airflow, BigQuery, Jupyter.

    Experience:
    Hooli (Logistics) — Senior Data Analyst
    - Deployed ETL pipelines for EdTech clients, improving key metrics by 10%.
- Analyzed LLM-powered assistants for FinTech clients, improving key metrics by 3x.
- Designed API services for Logistics clients, improving key metrics by 2x.
- Built ETL pipelines for EdTech clients, improving key metrics by 15%.
- Tech: dbt, PostgreSQL, Jupyter, Tableau, BigQuery.

    Skills: A/B testing, Airflow, BigQuery, Jupyter, Looker, NumPy, PostgreSQL, Python, Tableau
    Education: PhD in Information Systems"
